organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	Crb	CRB	crb	42896	ncbigene_symbol	7	14	9
7227	Drosophila melanogaster	Invertebrates	Crb	CRB	cr-b	248177	ncbigene_symbol	7	14	9
7227	Drosophila melanogaster	Invertebrates	Yki	YKI	yki	37851	ncbigene_symbol	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	mst	33119	ncbigene_symbol	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	hpo	37247	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	Mst84Dd	40886	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	Mst84Dc	40887	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	Mst84Db	40888	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	Mst84Da	40889	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	CG12279	41570	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	Mst87F	41693	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	Mst98Cb	43367	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST	MST	Mst98Ca	47854	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MOB	MOB	mats	42634	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	Wts	WTS	wts	43651	ncbigene_symbol	7	14	9
7227	Drosophila melanogaster	Invertebrates	SAV	SAV	sav	252554	ncbigene_symbol	7	14	9
7227	Drosophila melanogaster	Invertebrates	SMAD2	SMAD2	Smox	31738	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST1	MST1	Mst57Dc	43121	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST1	MST1	Mst57Db	43122	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	MST1	MST1	Mst57Da	47954	ncbigene_synonym	7	14	9
7227	Drosophila melanogaster	Invertebrates	DBF	DBF	dbf	34462	ncbigene_symbol	7	14	9
9606	Homo sapiens	Primates	CRB3	CRB3	CRB3	92359	ncbigene_symbol	4	14	13
9606	Homo sapiens	Primates	Yki	YKI	YAP1	10413	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	MST	MST	MAP3K10	4294	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	MST	MST	MPST	4357	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	MST	MST	TAM	8205	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	MST	MST	MSTO1	55154	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	SGMS1	259230	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	MOB2	81532	famplex_relations	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	MOB3A	126308	famplex_relations	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	MOB3B	79817	famplex_relations	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	MOB3C	148932	famplex_relations	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	MOB4	25843	famplex_relations	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	MOB1A	55233	famplex_relations	4	14	13
9606	Homo sapiens	Primates	MOB	MOB	MOB1B	92597	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Mats	MAT	ACAT1	38	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	Mats	MAT	MAT1A	4143	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	Wts	WTS	LATS1	9113	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	Wts	WTS	HDAC8	55869	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	Wts	WTS	LAS1L	81887	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	LATS	LATS	LATS2	26524	famplex_relations	4	14	13
9606	Homo sapiens	Primates	SAV	SAV	SAV1	60485	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	SMAD2	SMAD2	SMAD2	4087	ncbigene_symbol	4	14	13
9606	Homo sapiens	Primates	SMAD2/3	SMAD3	SMAD3	4088	ncbigene_symbol	4	14	13
9606	Homo sapiens	Primates	MST1	MST1	MST1	4485	ncbigene_symbol	4	14	13
9606	Homo sapiens	Primates	MST1	MST1	STK4	6789	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	MST1/2	MST2	STK3	6788	ncbigene_synonym	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP2B1	163	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP2M1	1173	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP2S1	1175	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP3B1	8546	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP3D1	8943	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP3S1	1176	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP3S2	10239	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP1B1	162	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP1G1	164	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP1M1	8907	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP1M2	10053	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP1S1	1174	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP1S2	8905	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP1S3	130340	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP4B1	10717	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP4E1	23431	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP4M1	9179	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP4S1	11154	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP5Z1	9907	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP5B1	91056	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP5M1	55745	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP5S1	55317	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP2A1	160	famplex_relations	4	14	13
9606	Homo sapiens	Primates	Adaptorproteins	ADAPTORPROTEIN	AP2A2	161	famplex_relations	4	14	13
