word	source	identifier
NAADP	MESH	C024376
Anandamide	MESH	C078814
Cysteinyl-leukotriene	MESH	C112381
Adenosine	MESH	D000241
amine	MESH	D000588
BAlanine	MESH	D000861
Aspartate	MESH	D001224
Bombesin	MESH	D001839
Bradykinin	MESH	D001920
L-Cysteic acid	MESH	D003544
Dopamine	MESH	D004298
dopamine	MESH	D004298
Epinephrine	MESH	D004837
GABA	MESH	D005680
Glycine	MESH	D005998
Gonadotropin	MESH	D006062
Histamine	MESH	D006632
Cortisol	MESH	D006854
Leukotriene B4	MESH	D007975
Melatonin	MESH	D008550
Oxytocin	MESH	D010121
Phosphatidylinositol	MESH	D010716
Porphyrins	MESH	D011166
S-HT	MESH	D012701
5-Hydroxytryptamine	MESH	D012701
Taurine	MESH	D013654
Thromboxane A2	MESH	D013928
thyroxine	MESH	D013974
PGE2	MESH	D015232
Tachykinin	MESH	D015320
glutamate	MESH	D018698
